timestamp,phone_accel_x,phone_accel_y,phone_accel_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,watch_accel_x,watch_accel_y,watch_accel_z,watch_gyro_x,watch_gyro_y,watch_gyro_z
1764807848.124076,-0.029451135411858557,0.17218027495741844,0.15297624666318296,,,,,,,,,
1764807848.131375,,,,,,,0.014005601406097412,0.044969022274017334,0.009687893092632294,-0.04428177326917648,-0.043082498013973236,0.08702447265386581
1764807848.134128,0.06877221519201994,0.14270926580131052,0.12858195624947547,-0.024919191375374794,-0.012621907517313957,-0.08232492953538895,,,,,,
1764807848.141405,,,,,,,0.0011726021766662598,0.046508580446243286,0.01623271405696869,-0.03235320746898651,-0.054623041301965714,0.08283611387014389
1764807848.144179,0.15936287896037102,0.11097732597589492,0.03578691430464387,-0.016740890219807625,-0.014843516051769257,-0.05613459646701813,,,,,,
1764807848.151435,,,,,,,0.0006041526794433594,0.031937748193740845,0.02178432047367096,-0.019101586192846298,-0.07184943556785583,0.06641346961259842
1764807848.15423,0.17474778735786675,0.12927636825442312,-0.012908435281366109,-0.00884175393730402,-0.017322899773716927,-0.04053039103746414,,,,,,
1764807848.161465,,,,,,,0.00439453125,0.022851228713989258,0.02624247968196869,-0.052891239523887634,-0.0859796330332756,0.048328205943107605
1764807848.164282,0.14679098215699196,0.11790391036868095,-0.0009669453360140323,-0.0011854320764541626,-0.023822875693440437,-0.03162771090865135,,,,,,
1764807848.171494,,,,,,,-0.0040937066078186035,0.008439064025878906,0.00893796980381012,-0.08145061880350113,-0.09125908464193344,0.05118677765130997
1764807848.174333,0.12210574597269296,0.059143678364157674,0.012159224349260329,0.002259432105347514,-0.02895507402718067,-0.027468865737318993,,,,,,
1764807848.181524,,,,,,,-0.017534494400024414,0.00046631693840026855,-0.004078969359397888,-0.07414805144071579,-0.08724969625473022,0.03697068989276886
1764807848.184385,0.041462767983973026,-0.10461012903153896,0.05659099820666015,-0.0033627673983573914,-0.01991683803498745,-0.03666369244456291,,,,,,
1764807848.191554,,,,,,,-0.019276559352874756,0.030575454235076904,-0.0017014741897583008,-0.09144847840070724,-0.062337685376405716,0.018657730892300606
1764807848.194436,-0.005441022010147571,-0.18016659753620623,0.14655381240025162,-0.015476608648896217,-0.013194586150348186,-0.036647845059633255,,,,,,
1764807848.201584,,,,,,,-0.010451793670654297,0.03694126009941101,-0.006358742713928223,-0.07737854868173599,-0.06257524341344833,0.025949064642190933
1764807848.204488,0.02821750196367502,-0.09402619117498397,0.17628610284104942,-0.013946356251835823,-0.008074925281107426,-0.020779931917786598,,,,,,
1764807848.211613,,,,,,,-0.005381941795349121,0.0298289954662323,-0.0052999332547187805,-0.06211703643202782,-0.07507319003343582,0.02382918819785118
1764807848.214539,0.025736498802900312,-0.06498188299834728,0.07877616120353341,-0.009865367785096169,0.008928875438869,-0.016090041026473045,,,,,,
1764807848.221643,,,,,,,-0.007215678691864014,0.032495707273483276,0.0006309673190116882,-0.08053720742464066,-0.0714465007185936,0.0060049849562346935
1764807848.22459,-0.008906360033154486,-0.08948328704833984,0.06287687354311347,-0.007245349697768688,0.024051103740930557,-0.011721125803887844,,,,,,
1764807848.231674,,,,,,,-0.01233220100402832,0.030349314212799072,-0.0003672987222671509,-0.08210421353578568,-0.07013861835002899,0.003147679381072521
1764807848.234642,0.06714139911979436,-0.08016191647350787,0.1242190848648548,-0.005415214225649834,0.031873177736997604,0.0016072285361588001,,,,,,
1764807848.241703,,,,,,,-0.0177762508392334,0.034245699644088745,0.006691448390483856,-0.07027184963226318,-0.06315341591835022,-0.007542648818343878
1764807848.244693,0.06700432873666286,-0.12912497708499432,0.10429740982055663,-0.00025267666205763817,0.03293391317129135,0.01200021430850029,,,,,,
1764807848.251732,,,,,,,-0.025883376598358154,0.03761100769042969,0.011016249656677246,-0.05754992738366127,-0.03995461389422417,-0.021616654470562935
