timestamp,phone_accel_x,phone_accel_y,phone_accel_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,watch_accel_x,watch_accel_y,watch_accel_z,watch_gyro_x,watch_gyro_y,watch_gyro_z
1763596067.753145,0.06614069764465093,0.41637013959288594,0.03556815698742866,-0.2590024173259735,-0.1804134100675583,-0.8796512484550476,,,,,,
1763596067.753934,,,,,,,0.015111207962036133,0.11922138929367065,0.019552946090698242,0.21393799781799316,0.09357552975416183,1.2547898292541504
1763596067.763198,0.03297003025300801,0.3027875995546579,0.08250175759792328,-0.27150484919548035,-0.1430494487285614,-0.8706757426261902,,,,,,
1763596067.763964,,,,,,,0.040603816509246826,0.1548142433166504,-0.009581565856933594,0.34383898973464966,0.09507249295711517,1.228906512260437
1763596067.77325,0.0055689592387527225,0.1577034213155508,0.13931845431923864,-0.27494725584983826,-0.16941846907138824,-0.8532267212867737,,,,,,
1763596067.773996,,,,,,,0.06049424409866333,0.16435325145721436,-0.044814467430114746,0.4490668773651123,0.07175198942422867,1.1739110946655273
1763596067.783303,0.004028378733247518,0.07067863333523274,0.12278686010465026,-0.2599681615829468,-0.2148059606552124,-0.8236556649208069,,,,,,
1763596067.784026,,,,,,,0.049121856689453125,0.17042747139930725,-0.042343735694885254,0.4847547709941864,0.09200958907604218,1.103553056716919
1763596067.793356,0.03484641858413815,0.11182488271594047,0.00886851224079728,-0.23158767819404602,-0.24923744797706604,-0.7820373773574829,,,,,,
1763596067.794056,,,,,,,0.0166587233543396,0.18477508425712585,-0.014295816421508789,0.44830915331840515,0.09812287241220474,1.0130647420883179
1763596067.803409,0.07586144280061126,0.1895972737044096,-0.10298092039451003,-0.19064311683177948,-0.2594393789768219,-0.7325973510742188,,,,,,
1763596067.804087,,,,,,,-0.0009979605674743652,0.17934423685073853,0.004587053321301937,0.3290250301361084,0.08925854414701462,0.9073511958122253
1763596067.813462,0.15279475261643527,0.26554128022193907,-0.1742950751543045,-0.1563567817211151,-0.2505423128604889,-0.6743564009666443,,,,,,
1763596067.814117,,,,,,,-0.003163158893585205,0.1523398756980896,0.014744997024536133,0.15762636065483093,0.061018917709589005,0.7842164635658264
1763596067.823514,0.2346742866627872,0.3413379872232675,-0.2092693579018116,-0.12615175545215607,-0.22657059133052826,-0.6061156988143921,,,,,,
1763596067.824148,,,,,,,-0.0064171552658081055,0.13612258434295654,0.01780414581298828,-0.031191568821668625,0.04311155527830124,0.6756258606910706
1763596067.833567,0.36223946708515287,0.3542570900291204,-0.19841960871592162,-0.1058315709233284,-0.20705094933509827,-0.5287697315216064,,,,,,
1763596067.834179,,,,,,,-0.011057555675506592,0.13888898491859436,0.012530921958386898,-0.2096284180879593,0.04243990406394005,0.5726163387298584
1763596067.84362,0.42629663645401594,0.2926017211049795,-0.17678528453484177,-0.09712326526641846,-0.21043862402439117,-0.44798412919044495,,,,,,
1763596067.844209,,,,,,,-0.011980772018432617,0.15741974115371704,0.0052902717143297195,-0.2899665832519531,0.010236695408821106,0.48744872212409973
1763596067.853673,0.48046588740646834,0.2836959455937147,-0.22221198771372436,-0.08408282697200775,-0.20250347256660461,-0.37141239643096924,,,,,,
1763596067.85424,,,,,,,-0.004807651042938232,0.17457321286201477,-0.010244488716125488,-0.32806310057640076,-0.02578122727572918,0.41004979610443115
1763596067.863726,0.5241100910827518,0.3307622326731682,-0.3307940891161561,-0.06963479518890381,-0.18560342490673065,-0.3037244975566864,,,,,,
1763596067.86427,,,,,,,0.000895082950592041,0.19238150119781494,-0.0231552105396986,-0.3443959951400757,-0.06486311554908752,0.3492908477783203
1763596067.873778,0.570194819778949,0.3659486968666315,-0.28972894214764233,-0.053312547504901886,-0.17077893018722534,-0.24662764370441437,,,,,,
1763596067.874301,,,,,,,-0.001232743263244629,0.1883307695388794,-0.02229154109954834,-0.3846992254257202,-0.08097443729639053,0.28571799397468567
1763596067.883831,0.6304292159892618,0.35487902131974697,-0.19288404029011724,-0.038028813898563385,-0.1683327853679657,-0.19153134524822235,,,,,,
1763596067.884331,,,,,,,-0.01099926233291626,0.16994822025299072,-0.017702460289001465,-0.41977745294570923,-0.07423664629459381,0.2268558144569397
1763596067.893884,0.6704365244679152,0.30523849983811374,-0.14364040917158127,-0.02909231185913086,-0.18225739896297455,-0.13777783513069153,,,,,,
1763596067.894362,,,,,,,-0.0188484787940979,0.1624305248260498,-0.018025755882263184,-0.4476485252380371,-0.0815342366695404,0.14824435114860535
1763596067.903937,0.7066862339787184,0.2758054846048355,-0.1571814432680607,-0.01652946136891842,-0.18994182348251343,-0.08451415598392487,,,,,,
1763596067.904393,,,,,,,-0.021453797817230225,0.16069480776786804,-0.010615350678563118,-0.4803534150123596,-0.07323475927114487,0.08968877047300339
